Store Name,Address,Timing,Coordinates,Phone Number
 V-Mart ," No D 3, Block 1, Central Market 2, Lajpat Nagar, South East Delhi, Delhi, 110024",10:00 AM to 10:00 PM,"28.568548,77.242454",08448982285
 V-Mart ," Shop No 610 And 611, Ravi Das Marg, Main Bazar Road, Guru Ram Das Nagar, Laxmi Nagar, New Delhi, Delhi, 110092",10:00 AM to 10:00 PM,"28.6365793,77.2790923",09313699995
 V-Mart ," C 7, Jyoti Nagar West, North Chajjupur, Block A, Shahdara, New Delhi, Delhi, 110032",10:00 AM to 10:00 PM,"28.689468,77.2880388",09310965120
 V-Mart ," No E/561/A & E/561B, Palam Extension, Dwarka, New Delhi, Delhi, 110075",10:00 AM to 10:00 PM,"28.583891,77.071784",07042989955
 V-Mart ," Virendar Nagar, Block B, Sant Nagar, 100 feet Road, near Axis Bank, Burari, North Delhi, Delhi, 110084",10:00 AM to 10:00 PM,"28.7427944,77.1980152",09289551045
 V-Mart ," Raghuveer Complex, Main Dadri Road, Bhangel, Noida, Gautam Buddha Nagar, Uttar Pradesh, 201304",10:00 AM to 10:00 PM,"28.53891,77.38914",08467922637
 V-Mart ," Main Road, Gandhi Nagar, Near Snapdeal, Nehru Nagar, Ghaziabad, Uttar Pradesh, 201001",11:00 AM to 10:00 PM,"28.656525,77.436216",09289792511
 V-Mart ," Ground Floor, Kali Mandir, Opposite Old Nit Bus Stand, New Industrial Town, Faridabad, Haryana, 121001",10:00 AM to 10:00 PM,"28.3839105,77.2888889",09289447776
 V-Mart ," Plot No 63, Block A, Pana Udyan, Narela, North West Delhi, Delhi, 110040",10:00 AM to 10:00 PM,"28.852096,77.088581",07428495287
 V-Mart ," Mangla Tower, Main Badshahpur Sohna Road, Sector 66, Near Mamta Sweets, Badshahpur, Gurugram, Haryana, 122101",10:00 AM to 10:00 PM,"28.390745,77.049525",09810891205
 V-Mart ," Bhatia Complex, Agra Chowk, Moti Colony, Palwal, Faridabad, Haryana, 121102",11:00 AM to 10:00 PM,"28.136079,77.329172",09667738051
 V-Mart ," Satyam Palace 552, Budhana Gate, Nigar Cinema Road, Jattiwara, Meerut, Uttar Pradesh, 250002",10:00 AM to 10:00 PM,"28.9814074,77.7000097",09368356534
 V-Mart ," Khasra No, 6051, Garh Road, Opposite Tanishq Showroom, Tejgarhi, Meerut, Uttar Pradesh, 250002",10:00 AM to 10:00 PM,"28.9664249,77.7319766",09319697765
